FMC_ID;IOB_TYPE;IOB_INDEX;IOB_DIR;IOB_SWAP
1;HA;00;DIRIO;0
1;HA;01;DIRIO;0
1;HA;02;DIRIO;1
1;HA;03;DIRIO;0
1;HA;04;DIRIO;1
1;HA;05;DIRIO;1
1;HA;06;DIRIO;1
1;HA;07;DIRIO;1
1;HA;08;DIRIO;1
1;HA;09;DIRIO;1
1;HA;10;DIRIO;1
1;HA;11;DIRIO;1
1;HA;12;DIRIO;1
1;HA;13;DIRIO;0
1;HA;14;DIRIO;1
1;HA;15;DIRIO;1
1;HA;16;DIRIO;1
1;HA;17;DIRIO;0
1;HA;18;DIRIO;1
1;HA;19;DIRIO;1
1;HA;20;DIRIO;0
1;HA;21;DIRIO;1
1;HA;22;DIRIO;1
1;HA;23;DIRIO;1
1;HB;00;DIRIO;1
1;HB;01;DIRIO;0
1;HB;02;DIRIO;0
1;HB;03;DIRIO;0
1;HB;04;DIRIO;0
1;HB;05;DIRIO;0
1;HB;06;DIRIO;0
1;HB;07;DIRIO;0
1;HB;08;DIRIO;0
1;HB;09;DIRIO;0
1;HB;10;DIRIO;0
1;HB;11;DIRIO;0
1;HB;12;DIRIO;0
1;HB;13;DIRIO;0
1;HB;14;DIRIO;0
1;HB;15;DIRIO;0
1;HB;16;DIRIO;0
1;HB;17;DIRIO;0
1;HB;18;DIRIO;0
1;HB;19;DIRIO;0
1;HB;20;DIRIO;0
1;HB;21;DIRIO;1
1;LA;00;DIRIO;0
1;LA;01;DIRIO;0
1;LA;02;DIRIO;0
1;LA;03;DIRIO;1
1;LA;04;DIRIO;1
1;LA;05;DIRIO;0
1;LA;06;DIRIO;1
1;LA;07;DIRIO;0
1;LA;08;DIRIO;0
1;LA;09;DIRIO;0
1;LA;10;DIRIO;1
1;LA;11;DIRIO;1
1;LA;12;DIRIO;1
1;LA;13;DIRIO;0
1;LA;14;DIRIO;0
1;LA;15;DIRIO;1
1;LA;16;DIRIO;0
1;LA;17;DIRIO;0
1;LA;18;DIRIO;0
1;LA;19;DIRIO;0
1;LA;20;DIRIO;1
1;LA;21;DIRIO;1
1;LA;22;DIRIO;0
1;LA;23;DIRIO;1
1;LA;24;DIRIO;1
1;LA;25;DIRIO;1
1;LA;26;DIRIO;0
1;LA;27;DIRIO;0
1;LA;28;DIRIO;0
1;LA;29;DIRIO;1
1;LA;30;DIRIO;0
1;LA;31;DIRIO;1
1;LA;32;DIRIO;0
1;LA;33;DIRIO;1
2;HA;00;DIRIO;1
2;HA;01;DIRIO;0
2;HA;02;DIRIO;1
2;HA;03;DIRIO;0
2;HA;04;DIRIO;1
2;HA;05;DIRIO;0
2;HA;06;DIRIO;1
2;HA;07;DIRIO;1
2;HA;08;DIRIO;1
2;HA;09;DIRIO;1
2;HA;10;DIRIO;0
2;HA;11;DIRIO;1
2;HA;12;DIRIO;1
2;HA;13;DIRIO;1
2;HA;14;DIRIO;1
2;HA;15;DIRIO;0
2;HA;16;DIRIO;1
2;HA;17;DIRIO;1
2;HA;18;DIRIO;1
2;HA;19;DIRIO;1
2;HA;20;DIRIO;1
2;HA;21;DIRIO;0
2;HA;22;DIRIO;1
2;HA;23;DIRIO;1
2;HB;00;DIRIO;0
2;HB;01;DIRIO;1
2;HB;02;DIRIO;1
2;HB;03;DIRIO;0
2;HB;04;DIRIO;0
2;HB;05;DIRIO;0
2;HB;06;DIRIO;0
2;HB;07;DIRIO;1
2;HB;08;DIRIO;0
2;HB;09;DIRIO;0
2;HB;10;DIRIO;1
2;HB;11;DIRIO;1
2;HB;12;DIRIO;0
2;HB;13;DIRIO;0
2;HB;14;DIRIO;0
2;HB;15;DIRIO;0
2;HB;16;DIRIO;1
2;HB;17;DIRIO;1
2;HB;18;DIRIO;0
2;HB;19;DIRIO;1
2;HB;20;DIRIO;0
2;HB;21;DIRIO;0
2;LA;00;DIRIO;0
2;LA;01;DIRIO;1
2;LA;02;DIRIO;1
2;LA;03;DIRIO;1
2;LA;04;DIRIO;1
2;LA;05;DIRIO;1
2;LA;06;DIRIO;0
2;LA;07;DIRIO;1
2;LA;08;DIRIO;0
2;LA;09;DIRIO;1
2;LA;10;DIRIO;1
2;LA;11;DIRIO;1
2;LA;12;DIRIO;1
2;LA;13;DIRIO;1
2;LA;14;DIRIO;1
2;LA;15;DIRIO;1
2;LA;16;DIRIO;0
2;LA;17;DIRIO;1
2;LA;18;DIRIO;0
2;LA;19;DIRIO;1
2;LA;20;DIRIO;0
2;LA;21;DIRIO;1
2;LA;22;DIRIO;1
2;LA;23;DIRIO;1
2;LA;24;DIRIO;0
2;LA;25;DIRIO;1
2;LA;26;DIRIO;1
2;LA;27;DIRIO;0
2;LA;28;DIRIO;1
2;LA;29;DIRIO;1
2;LA;30;DIRIO;0
2;LA;31;DIRIO;1
2;LA;32;DIRIO;0
2;LA;33;DIRIO;0
